,domain,feature,id,miss_test,miss_test_neg,miss_test_pos,miss_train,miss_train_neg,miss_train_pos,n_test_neg,n_test_pos,n_train_neg,n_train_pos,numeric,odds_ratio_test,odds_ratio_train,tl,unit
0,respiratory,respiratory rate meas,r14,0.6460205915999346,0.6490627253064167,0.6164623467600701,0.6526384604384154,0.6542967869857149,0.6365228815414934,36057.0,6601.0,122862.0,25079.0,True,0.0,0.0,1.0,1/min
1,respiratory,respiratory rate meas,r14,0.0786076156234678,0.0851658255227109,0.0148861646234675,0.0844143904880589,0.0912532107611193,0.017954893803372,314523.0,40110.0,1250072.0,153211.0,True,0.0,0.0,2.0,1/min
2,respiratory,respiratory rate meas,r14,0.8157378656643243,0.8174116798846431,0.7994746059544658,0.8171770618398742,0.8182596548150151,0.8066564484344209,3544.0,429.0,14756.0,2366.0,True,0.0,0.0,3.0,1/min
0,inputs,amount prednisolone,i131,0.9767118810263116,0.9762076423936554,0.9816112084063048,0.9767104537375636,0.975891127033482,0.9846726516312678,306.0,22.0,1237.0,80.0,True,0.0,0.0,2.0,mg
1,inputs,amount propofol,i2,0.9120771367870568,0.9135724585436192,0.8975481611208407,0.9150340149951992,0.9157766662160336,0.9078169476680534,2460.0,336.0,8730.0,1336.0,True,0.0,0.0,1.0,mg
2,inputs,amount propofol,i2,0.1097401536198725,0.1164383561643835,0.0446584938704027,0.1107070624527569,0.1163985399486278,0.0553974162469892,33642.0,3728.0,133036.0,14250.0,True,0.0,0.0,2.0,mg
3,inputs,amount ephedrin,i45,0.873100179767936,0.8745493871665465,0.8590192644483363,0.8761568162781671,0.8774728493533415,0.86336763739873,3785.0,393.0,14481.0,1500.0,True,0.0,0.0,2.0,mg
4,inputs,amount mivacurium,i72,0.8429481941493708,0.8386806056236482,0.8844133099824869,0.8467384420519316,0.8421882745257087,0.890956864462448,2256.0,159.0,8968.0,611.0,True,0.0,0.0,2.0,mg
5,inputs,amount cafedrin and theodrenalin,i6,0.9802255270469032,0.9802631578947368,0.9798598949211909,0.9827779934217248,0.982966067324591,0.9809502955988614,1210.0,106.0,3902.0,394.0,True,0.0,0.0,1.0,mg
6,inputs,amount cafedrin and theodrenalin,i6,0.5670861251838536,0.565338860850757,0.5840630472854641,0.5646284908782611,0.5651390203235547,0.5596671775782789,29448.0,2494.0,114190.0,10758.0,True,0.0,0.0,2.0,mg
7,inputs,amount lidocain,i99,0.962902435038405,0.9605263157894736,0.9859894921190892,0.959917465116754,0.9568969402009824,0.9892708561418876,632.0,21.0,2749.0,85.0,True,0.0,0.0,2.0,mg
8,inputs,amount suxamethonium,i119,0.943373100179768,0.9411499639509732,0.9649737302977232,0.9440846595436068,0.9424090847640936,0.9603678563608496,770.0,53.0,3009.0,202.0,True,0.0,0.0,2.0,mg
9,inputs,amount clonidin,i30,0.8159012910606308,0.8211067051189618,0.7653239929947461,0.8131524648103128,0.8171556036230905,0.7742500547405299,3840.0,523.0,15446.0,2090.0,True,0.0,0.0,2.0,mg
