,Unnamed: 0,auc-pr,auc-roc,sens,spec,prec,f1,model,type,nr
0,0,0.1994932565048659,0.6848808379178815,0.4926026255469889,0.7678161777048325,0.1218813460980562,0.2410768916989598,model_1_lr,train,1
1,1,0.1769032453579576,0.6532757930127309,0.4539419087136929,0.7814320477840867,0.1078732106339468,0.2319762510602205,model_1_lr,test,1
2,2,0.189117968662228,0.6508712591422621,0.3800829875518672,0.857458889462429,0.1056717165393764,0.2547274749721913,model_1_lr,test,"1,1"
3,3,0.1754083909170223,0.6586171719548461,0.4597510373443983,0.7869626133765947,0.1113582831719445,0.2383820998278829,model_1_lr,test,"1,2"
4,4,0.1852560054970604,0.6537022661702876,0.5103734439834025,0.7342378880613525,0.1070522577371892,0.2267699115044248,model_1_lr,test,"1,3"
5,5,0.1707278072828233,0.6444085599386329,0.4564315352697095,0.7779662266794485,0.1056286549707602,0.2308015107007973,model_1_lr,test,"1,4"
6,6,0.1846505163910711,0.6506113302088825,0.4049792531120332,0.8265614630189514,0.1075091807015322,0.2412855377008652,model_1_lr,test,"1,5"
7,7,0.1719399592947117,0.6472164655723439,0.3975103734439834,0.825381609025883,0.1072621551404181,0.236426456071076,model_1_lr,test,"1,6"
8,8,0.1712611904887653,0.6560781910292544,0.4589211618257261,0.7803259346655851,0.1119066560594006,0.2334811061853493,model_1_lr,test,"1,7"
9,9,0.2038108901186802,0.6764414734589457,0.4240663900414937,0.8396135978172701,0.1138694009713977,0.2626574145463891,model_1_lr,test,"1,8"
10,10,0.1717092863994281,0.6527912450917186,0.4431535269709543,0.7958115183246073,0.1079145889272471,0.2369121561668145,model_1_lr,test,"1,9"
11,11,0.173434492491556,0.6506955967518522,0.4116182572614107,0.8204409704299093,0.1081807707079759,0.2398452611218568,model_1_lr,test,"1,10"
12,12,0.1892785479073143,0.666352069533055,0.4813278008298755,0.7818007521569206,0.1132776230269266,0.2445193929173693,model_1_lr,test,"1,11"
13,13,0.1889238229297497,0.6583601804172999,0.4688796680497925,0.7845291645158912,0.1075063613231552,0.2408354646206308,model_1_lr,test,"1,12"
14,14,0.1772717921612093,0.6540735101666023,0.4721991701244813,0.7705921392227711,0.1082261889901385,0.2329580348004094,model_1_lr,test,"1,13"
15,15,0.1691154453439181,0.643290024083586,0.4514522821576763,0.7792935624216504,0.1058910343131226,0.2294390552509489,model_1_lr,test,"1,14"
16,16,0.1593909050684713,0.6355623782013408,0.4008298755186722,0.8174175945726716,0.1059479553903345,0.2319884726224784,model_1_lr,test,"1,15"
17,17,0.1857222413894139,0.6671272360543308,0.4929460580912863,0.7677899859892339,0.1109943517667148,0.2400970088924818,model_1_lr,test,"1,16"
18,18,0.1833325510824207,0.662554383894993,0.4755186721991701,0.7883636899933633,0.1090511136861079,0.2465576592082616,model_1_lr,test,"1,17"
19,19,0.1749650183768795,0.6454466539848682,0.4556016597510373,0.7739842194528427,0.1063214779439487,0.2278481012658227,model_1_lr,test,"1,18"
20,20,0.1832972617413825,0.6594040268637088,0.4597510373443983,0.7837917557702234,0.109838625715773,0.2361969729268812,model_1_lr,test,"1,19"
21,21,0.178194575357553,0.6554849288645344,0.420746887966805,0.8217683061721112,0.1073791348600508,0.2455800435940906,model_1_lr,test,"1,20"
22,22,0.1685352904834704,0.6510188020871421,0.4431535269709543,0.7773762996829142,0.1078347751919093,0.2244640605296343,model_1_lr,test,"1,21"
23,23,0.1824457993615607,0.6549553714719505,0.4572614107883817,0.7817270112823538,0.1095078587992785,0.2336726039016115,model_1_lr,test,"1,22"
24,24,0.1770352423686178,0.6666375476906102,0.4572614107883817,0.7902809527320994,0.1173122310148549,0.2395652173913043,model_1_lr,test,"1,23"
25,25,0.1767278451976984,0.6475963381689192,0.4979253112033195,0.7422756433891307,0.1064633992692453,0.2264150943396226,model_1_lr,test,"1,24"
26,26,0.1886879165445557,0.6560068367888021,0.4539419087136929,0.7868888725020279,0.1082084773978742,0.2356742783283067,model_1_lr,test,"1,25"
27,27,0.1768148466581035,0.6540422697379996,0.4464730290456432,0.7841604601430573,0.1095261721657157,0.230406852248394,model_1_lr,test,"1,26"
28,28,0.1631475129320947,0.6378215415759312,0.416597510373444,0.7992035985546788,0.1047666335650446,0.2266365688487585,model_1_lr,test,"1,27"
29,29,0.1730976434632509,0.6430976246565007,0.4539419087136929,0.7785561536759826,0.105696123644522,0.2300736067297581,model_1_lr,test,"1,28"
30,30,0.1802024617762396,0.6616436381972834,0.4522821576763485,0.7826119017771551,0.1123150105708245,0.2320136228182205,model_1_lr,test,"1,29"
31,31,0.1965158505559639,0.6549916605496418,0.4265560165975103,0.8233906054125801,0.1058266932270916,0.2498784637822071,model_1_lr,test,"1,30"
