,feature,tl,i,U1,p,AUC,2|AUC-0.5|,avai,miss,n_pos,n_neg,MI,10MI,p_corr,reject
0,respiratory_rate_meas_p0.1,1,3,14123141.0,0.6365408845843029,0.4969332456035411,0.006133508792917852,0.3087471083246723,0.6912528916753278,1700,16718,0.0,0.0,0.6760356703529121,False
1,respiratory_rate_meas_p0.5,1,3,14311961.0,0.5855925186505402,0.503577018078436,0.007154036156872046,0.3087471083246723,0.6912528916753278,1700,16718,0.0015172959576050804,0.015172959576050804,0.636513607228848,False
2,respiratory_rate_meas_p0.9,1,3,14345475.0,0.47137549728047357,0.5047562331548243,0.009512466309648637,0.3087471083246723,0.6912528916753278,1700,16718,0.0009615082882978854,0.009615082882978854,0.5310131843361354,False
3,amount_fentanyl_p0.1,1,3,1367079.0,0.22644959399885445,0.4852247486524877,0.029550502695024572,0.09127636034465417,0.9087236396553459,579,4866,0.0,0.0,0.27842163196580466,False
4,amount_fentanyl_p0.5,1,3,1386741.0,0.5202405273984798,0.4922034887311556,0.015593022537688794,0.09127636034465417,0.9087236396553459,579,4866,0.0009621622286628551,0.00962162228662855,0.5737946993365587,False
5,amount_fentanyl_p0.9,1,3,1446784.5,0.26579644442971306,0.5135150531657754,0.027030106331550785,0.09127636034465417,0.9087236396553459,579,4866,0.0,0.0,0.3215279569714271,False
6,amount_fentanyl_sum,1,3,1519049.5,0.0014709869378605484,0.5391644607430786,0.07832892148615711,0.09127636034465417,0.9087236396553459,579,4866,0.00041529466728862374,0.004152946672886237,0.0025958593021068502,True
7,volume_water-full_electrolyte_solution_p0.1,1,3,69445151.5,0.02290992660814321,0.4985838368885082,0.002832326222983572,0.7127099607737956,0.28729003922620444,3577,38939,0.004941599229891125,0.04941599229891125,0.034712010012338194,True
8,volume_water-full_electrolyte_solution_p0.5,1,3,69464365.0,0.035102410893160955,0.4987217808679386,0.0025564382641227734,0.7127099607737956,0.28729003922620444,3577,38939,0.006334525252654322,0.06334525252654322,0.05062847724975138,False
9,volume_water-full_electrolyte_solution_p0.9,1,3,69610271.5,0.7158987476106455,0.49976932156769466,0.0004613568646106847,0.7127099607737956,0.28729003922620444,3577,38939,0.005311260027507592,0.053112600275075916,0.7462481547624522,False
10,volume_water-full_electrolyte_solution_sum,1,3,72423771.5,9.827233549049155e-12,0.5199689409044862,0.0399378818089724,0.7127099607737956,0.28729003922620444,3577,38939,0.003195096654797558,0.03195096654797558,3.879171137782561e-11,True
11,age,1,3,157943094.5,4.4550815814862834e-160,0.6172444822632915,0.23448896452658308,0.9737653803600764,0.026234619639923573,4802,53287,0.00858149780509132,0.0858149780509132,2.227540790743142e-158,True
12,bmi,1,3,24762258.0,0.3239348173659252,0.5064816581793726,0.012963316358745258,0.42463204479163175,0.5753679552083683,2105,23226,0.004477148803536446,0.04477148803536446,0.38260017799125023,False
13,body_weight,1,3,36782404.0,0.09033095559268549,0.4901227923863081,0.019754415227383748,0.5137124082207396,0.4862875917792604,2684,27961,0.0010662564653085571,0.010662564653085571,0.12097895838306091,False
14,body_length,1,3,25033810.0,8.421983937306002e-05,0.4746690360480251,0.050661927903949855,0.4409092433030476,0.5590907566969524,2187,24115,0.002904833257705519,0.02904833257705519,0.00017545799869387503,True
15,number_of_previous_admissions,1,3,136616000.0,5.275547880299092e-20,0.5338978095612901,0.06779561912258014,0.9737653803600764,0.026234619639923573,4802,53287,0.0015082881032455475,0.015082881032455475,3.440574704542886e-19,True
16,hospitalization_time,1,3,144867110.5,3.0401426389348693e-52,0.5661432992725841,0.13228659854516822,0.9737653803600764,0.026234619639923573,4802,53287,0.0023127530370063987,0.023127530370063987,3.8001782986685867e-51,True
17,number_of_surgeries,1,3,130037940.0,8.992444155767717e-06,0.5081906315941211,0.01638126318824229,0.9737653803600764,0.026234619639923573,4802,53287,0.0,0.0,2.141058132325647e-05,True
18,number_of_previous_surgeries,1,3,132160080.5,6.307764766661501e-07,0.5164839952157416,0.03296799043148324,0.9737653803600764,0.026234619639923573,4802,53287,0.0006662482163359851,0.006662482163359851,1.6599380964898687e-06,True
19,op_n_class_p0.1,1,3,6699743.5,5.0083713264680814e-08,0.46211820332599896,0.07576359334800209,0.23401615985516477,0.7659838401448352,1130,12830,0.0031234833649096405,0.031234833649096405,1.4174635829626646e-07,True
20,op_n_class_p0.5,1,3,6734736.0,3.185743417586118e-07,0.46453182874761173,0.07093634250477654,0.23401615985516477,0.7659838401448352,1130,12830,0.00194074888129947,0.0194074888129947,8.688391138871232e-07,True
21,op_n_class_p0.9,1,3,6760784.0,1.1262783115731947e-06,0.46632850274867393,0.06734299450265213,0.23401615985516477,0.7659838401448352,1130,12830,0.002872992813392594,0.02872992813392594,2.9127887368272277e-06,True
22,asa_status_p0.1,1,3,46691391.0,1.3859190120941369e-67,0.5897973206542182,0.1795946413084364,0.5093539410601133,0.49064605893988666,2878,27507,0.006204914678490381,0.06204914678490381,2.5985981476765066e-66,True
23,asa_status_p0.5,1,3,46720814.5,3.948075916067119e-68,0.5901689930566161,0.18033798611323215,0.5093539410601133,0.49064605893988666,2878,27507,0.00657178815044146,0.0657178815044146,8.460162677286682e-67,True
24,asa_status_p0.9,1,3,46736764.0,2.1599344815586495e-68,0.5903704642949815,0.18074092858996305,0.5093539410601133,0.49064605893988666,2878,27507,0.006296291704638968,0.06296291704638968,5.3998362038966233e-67,True
25,metabolic_equivalents_p0.1,1,3,2166482.5,1.8040792869915075e-16,0.41042468167913077,0.17915063664173847,0.13083783149495423,0.8691621685050458,748,7057,0.0,0.0,9.331444587887108e-16,True
26,metabolic_equivalents_p0.5,1,3,2166340.0,1.7588397424789312e-16,0.41039768606890115,0.1792046278621977,0.13083783149495423,0.8691621685050458,748,7057,0.0026527173273207527,0.026527173273207527,9.331444587887108e-16,True
27,metabolic_equivalents_p0.9,1,3,2168667.0,2.4762026452972084e-16,0.4108385196478787,0.17832296070424258,0.13083783149495423,0.8691621685050458,748,7057,0.001242323070966611,0.012423230709666111,1.2381013226486041e-15,True
28,history_of_infection_diagnosis,1,3,130088705.0,1.39468211264918e-07,0.508389022136242,0.016778044272484083,0.9737653803600764,0.026234619639923573,4802,53287,0.0016101790984246467,0.016101790984246467,3.874116979581056e-07,True
29,history_of_dehydration,1,3,130180921.0,3.6661781864942355e-14,0.5087494039392995,0.01749880787859892,0.9737653803600764,0.026234619639923573,4802,53287,0.0010176582645222698,0.010176582645222698,1.5712192227832438e-13,True
